id,title,abstract,current_theme,current_domain,confidence,source_model,sonnet_theme,sonnet_domain,agree_theme,agree_domain,human_theme,human_domain,human_notes
6a26bf1d2b6042b76389bc4d,Order-disorder transition and Na-ion redistribution in NASICON-type NaFeCr(PO),"We report the temperature-dependent synchrotron based X-ray diffraction analysis of NASICON type Na$_3$FeCr(PO$_4$)$_3$ sample, which undergoes a symmetry-lowering structural transition from a monoclinic ($C2/c$) phase with long-range Na-vacancy order to a rhombohedral ($R\bar{3}c$) phase with statistical disordered Na ions. The [FeCr(PO$_4$)$_3$] polyanionic framework remains essentially unchanged, confirming that the transition is governed by redistribution of the Na sublattice rather than by ",Advanced Materials & Devices,Ferroelectric & Magnetic Ceramics,0.92,haiku,"Energy, Sustainability & Climate Change",Energy Storage Materials,N,N,,,
69deca5f4e2d2a5b77edd341,Efficient power sharing approach for photovoltaic generation based microgrids,"A control strategy is formulated for photovoltaic generators (PVG) operating in parallel in a Microgrid. A radial microgrid is considered and when it is isolated from the utility grid, the PVG's must operate in the voltage-frequency control mode in the absence of a storage or a diesel generator unit. It is observed that the conventional P-f and Q-v droop control method fails to deliver correct power references for inverters operating in parallel when network impedance is unequal, and therefore a",Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.92,haiku,"Energy, Sustainability & Climate Change",Grid Integration & Smart Microgrids,N,N,,,
6a26bf2f2b6042b76389bd0b,"zeroInertiaFlowFOAM–a OpenFOAM®-based computationally efficient, mass-conservative, implicit zero-inertia flow model for flood inundation problems on collocated grid-systems.","… The ZI model is computationally efficient and highly accurate compared to the SW models for modeling low subcritical (Froude number < 0.5) flood propagation problems. The current study presents a Finite Volume (FV) method-based ZI flow model - zeroInertiaFlowFOAM, developed using the OpenFOAM® framework [1]. The model utilizes the implicit time discretization scheme and the Picard iteration scheme for the linearization of the non-linear momentum equation. The stabilized and adaptive time-stepp",Smart & Sustainable Infrastructure,Hydrology & Water Resources Management,0.92,haiku,"AI/ML, Supercomputing & Quantum Computing",Computational Fluid Dynamics & Flow Analysis,N,N,,,
69deca1c4e2d2a5b77ed3e54,Influence of reinforcement and lubrication on abrasive wear performance of polyamide,"This paper presents the results of studies on the wear performance of various composites of polyamide (nylon 6,6) reinforced with short carbon fibres and lubricated with a solid lubricant, PTFE, under adverse sliding conditions (abrasive wear). The effects of increasing amounts of fillers, fibre orientation, and experimental parameters such as load, and abrading particle size were investigated. The studies revealed that fillers that are very much suitable for adhesive wear applications are detri",Manufacturing & Industry 4.0,Tribology & Bearing Performance,0.92,haiku,Advanced Materials & Devices,Polymer Nanocomposites & Blends,N,N,,,
6a26bb922b6042b76389a04b,Analysis of Different Transition Techniques for Non-isolated Bidirectional DC-DC Converters,"This work is aimed at making an objective comparison of the mode transition techniques reported for the non-isolated bidirectional dc-dc converters (BDCs) such as synchronous buck converter, non-inverting buck-boost converter, dual active bridge (DAB), etc. The analysis is carried out by creating a mathematical models for these transition techniques. A comparison has been made based on the type of transition technique, time requirement, and other important factors to achieve a smooth transient r","Energy, Sustainability & Climate Change",Electric Vehicle Battery & Charging Systems,0.92,sonnet,Manufacturing & Industry 4.0,Electric Motor Drives & Power Electronics,N,N,,,
69deca064e2d2a5b77ed0ac5,Upcycling Textile Waste to Fiber Reinforced Polymer Composites,(No abstract available),Advanced Materials & Devices,Composite & Laminate Structures,0.85,haiku,Manufacturing & Industry 4.0,"Materials, Joining & Mechanical Behavior",N,N,,,
69deca5f4e2d2a5b77edd34b,Dynamic response of nonlinear electrical analogue hydroelectric turbine model,"Nonlinear model of hydroelectric turbine model with elastic water column in penstock consider the effects which cause travelling waves: pressure and flow due to elasticity of steel in penstock and compressibility of water. This paper proposes two nonlinear electrical analogue turbine models of hydroelectric plants, non-dissipative model and approximated model. Dynamic response of the proposed model is compared with the nonlinear travelling wave model. Frequency response analysis of approximated ",Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.78,haiku,"Energy, Sustainability & Climate Change",Grid Integration & Smart Microgrids,N,N,,,
69deca0a4e2d2a5b77ed1477,Path diminution in node-disjoint multipath routing for mobile ad hoc networks is unavoidable with single route discovery,"In an ad hoc network, identification of all node-disjoint paths between a given pair of nodes is a challenging task. The phenomena that a protocol is not able to identify all node-disjoint paths that exist between a given pair of nodes is called path diminution. In this paper, we discuss that path diminution is unavoidable when a protocol discovers multiple node-disjoint paths in a single route discovery. We discuss schemes to mitigate path diminution. However, no such scheme is guaranteed to di","AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,0.75,haiku,Next-Gen Communication,Wireless Network Access & Resource Allocation,N,N,,,
69deca104e2d2a5b77ed2398,Improvements in the performance of self-excited induction generator through series compensation,"Improvements in the performance of a three-phase self-excited induction generator (SEIG) through series compensation are investigated. Both methods, namely short-shunt and long-shunt configurations, of capacitive series compensation for the SEIG are analysed and compared for the selection of capacitive elements. Computed results are compared with experimental results for resistive and inductive loads to verify the developed algorithm and design of such a system. © IEE, 1999.",Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.75,haiku,"Energy, Sustainability & Climate Change",Grid Integration & Smart Microgrids,N,N,,,
69deca514e2d2a5b77edb869,Synthesis of 1-methyl-4-nitro-5-substituted-imidazole and substituted imidazolothiazole derivates as possible antiparasitic agents,(No abstract available),Healthcare & MedTech,Drug Delivery & Molecular Therapeutics,0.75,haiku,Advanced Materials & Devices,Organometallic & Chalcogenide Synthesis,N,N,,,
69deca624e2d2a5b77edd973,Discovering and leveraging communities in dark multi-layered networks for network disruption,"In this paper we introduce a methodology to identify communities in dark multilayered networks, taking into account that the main challenges of these networks are incompleteness, fuzzy boundaries, and dynamic behavior. To account for these characteristics, we create knowledge sharing communities (KSC) that determine the community detection. KSC is driven by weighing the edge attributes as desired for the application that the communities are used. We provide an interactive algorithm that allows t","AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,0.75,haiku,"Social Sciences, Humanities & Management",Social Media Analytics & Online Networks,N,N,,,
69deca504e2d2a5b77edb6fa,"Next generation bioformulation prepared by amalgamating Bradyrhizobium, cell free culture supernatant, and exopolysaccharides enhances the indigenous rhizospheric rhizobial population, nodulation, and productivity of pigeon pea","Addition of living cells for plant growth promotion has several constraints including erratic and inconsistent field performance, poor shelf life, and reduced population due to tough competition with resident microbes. Due to the focus on employing cell-based formulation, bacterial cell free culture supernatant (CFCS), and metabolites produced by them, have been largely ignored. Hence, present study aimed to enhance productivity and nodulation of Cajanus cajan (pigeon pea) by using diverse formu",Manufacturing & Industry 4.0,Biomanufacturing & Fermentation Processes,0.75,haiku,"Energy, Sustainability & Climate Change",Environmental Assessment & Land Use Management,N,N,,,
69deca154e2d2a5b77ed2e2c,Study on flow and heat transfer characteristics of Encapsulated Phase Change Material (EPCM) slurry in Double-Pipe Heat Exchanger,"Microencapsulated phase change material (MPCM) slurry as a working fluid was numerically investigated for thermal energy conservation systems due to its high heat capacity associated with the PCM. A mathematical model of a double pipe heat exchanger was developed to conduct the numerical analysis based on the Eulerian-Eulerian flow model. During simulation, it was considered that MPCM slurry flows through the inside pipe of the heat exchanger, whereas high-temperature plain water flows at the an",Manufacturing & Industry 4.0,Fluid-Particle Flow & Multiphase Systems,0.75,haiku,"Energy, Sustainability & Climate Change",Solar Thermal Energy & Heat Transfer Systems,N,N,,,
69deca574e2d2a5b77edc768,CoSP approach for the synthesis of blue MoO3 nanoparticles for application as hole transport layer (HTL) in organic solar cells,"The synthesis of MoO<inf>3</inf> nanoparticles is reported using a Continuous Spray Pyrolysis (CoSP) reactor and the influence of zone temperature, precursor concentration on the structural and morphological properties is investigated. The collected nanoparticles are utilized to prepare thin films by spin coating and further annealing at various temperatures. The improvement in morphology, crystallinity and the band gap shift shows the effectiveness of the annealing treatment in creating a prope",Quantum Technologies & Semiconductor Technology,Semiconductor Photovoltaic & Photodetection Devices,0.75,haiku,"Energy, Sustainability & Climate Change",Next-Generation Photovoltaic Materials,N,N,,,
69deca264e2d2a5b77ed59d4,Apache Wayang: A Unified Data Analytics Framework,The large variety of specialized data processing platforms and the increased complexity of data analytics has led to the need for unifying data analytics within a single framework. Such a framework should free users from the burden of (i) choosing the right platform( s) and (ii) gluing code between the different parts of their pipelines. Apache Wayang (Incubating) is the only open-source framework that provides a systematic solution to unified data analytics by integrating multiple heterogeneous,"Social Sciences, Humanities & Management",Digital Transformation & IT Applications,0.72,haiku,"AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,N,N,,,
69deca194e2d2a5b77ed398f,A Comparative performance simulation of natural and synthetic sound absorbers in room acoustic applications,"This is an initial study of performance simulation of waste jute fibers in room acoustic applications. A ray acoustic simulation of a small lecture hall is performed in COMSOL multiphysics. The response of the lecture hall is simulated without any sound-absorbing materials. After that, the walls of the lecture hall are treated with waste jute fibers and commercial glass wool. The performance of the materials is quantified by the resultant field sound pressure level, sound intensity level, and so",Smart & Sustainable Infrastructure,Building Energy & Thermal Performance,0.72,haiku,Advanced Materials & Devices,Bio-based Materials & Polymers,N,N,,,
69deca5e4e2d2a5b77edd13b,"A COMPARATIVE ASSESSMENT OF THE DYNAMIC RESPONSES OF SOLID PLATE, STIFFENED PLATE, AND SANDWICH PLATE OF EQUAL MASSES UNDER EXPLOSIVE LOADINGS","For making a protective structure, the AL6XN steel has high ductility and excellent strength, and in the current study, it is used for making protective structures. The present work deals with a cost-effective numerical analysis of the protective structures’ blast performance. To investigate the significant effects on the air blast mitigation of a solid plate, a stiffened plate, and a sandwich plate of equal masses, their quarter parts are modeled. The use of quarter models significantly reduces",Manufacturing & Industry 4.0,"Materials, Joining & Mechanical Behavior",0.72,haiku,Smart & Sustainable Infrastructure,Structural Dynamics & Seismic Engineering,N,N,,,
69deca144e2d2a5b77ed2d70,Analytical survivability model for fault tolerant cellular networks supporting multiple services,"Survivability analysis measure the degree of functionality remaining in a system after failures. It consists of evaluating metrics which quantify the system performance during failure scenarios as well as in normal operation. Existing research work in this area discusses fault tolerant architecture of cellular networks and analyze impact of failures on the network performance through simulation models. In order to quantitatively assess the effect of failures on cellular networks, we develop anal",Smart & Sustainable Infrastructure,Power Systems & Grid Control,0.72,haiku,Next-Gen Communication,Wireless Network Access & Resource Allocation,N,N,,,
69deca024e2d2a5b77ed0078,"BF3·Et2O Catalysed 4-Aryl-3-phenyl-benzopyrones, Pro-SERMs, and Their Characterization","We have synthesized the novel 4-(4-hydroxy-benzyl)-3-phenyl-chromen-2-one which is a precursor of SERMs with a smaller number of steps and good yield. Two methodologies for the synthesis have been worked out. Anhydrous BF<inf>3</inf>·Et<inf>2</inf>O catalyzed reaction was found to be selective for product formation while anhydrous AlCl<inf>3</inf>, FeCl<inf>3</inf>, and SnCl<inf>4</inf> catalyzed ones were nonselective.",Advanced Materials & Devices,Organometallic & Chalcogenide Synthesis,0.72,haiku,Healthcare & MedTech,Drug Delivery & Molecular Therapeutics,N,N,,,
69dec9f74e2d2a5b77ece743,Uniformly strained anisotropic elastoplastic rods: Determination of elastoplastic constitutive relations and yield surface in terms of rod's variables,"This work presents a formulation for the elastoplastic deformation of the rod's cross-section wherein the rod material can obey an arbitrary three-dimensional stored energy density model together with a rate-independent arbitrary phenomenological plasticity model. In order to do so, we impose a uniform strain field along the rod's arc-length which reduces the three-dimensional nonlinear elastoplastic rod problem to just its cross-section. To solve this elastoplastic cross-sectional deformation p",Manufacturing & Industry 4.0,"Materials, Joining & Mechanical Behavior",0.72,haiku,Advanced Materials & Devices,Composite & Laminate Structures,N,N,,,
69deca204e2d2a5b77ed4a80,EEG signal classification,"The article describes the classification of simple movements using a system based on Hidden Markov Models (HMM). Brisk extensions and flexions of the index finger, and movements of the proximal arm (shoulder) and distal arm (finger) were classified using scalp EEG signals. The aim of our study was to develop a system for the classification of movements which show EEG changes at identical scalp electrodes of one hemisphere. The classification of EEG patterns related to movements of one hand is di",Healthcare & MedTech,Clinical AI & Medical Imaging Analytics,0.72,haiku,"AI/ML, Supercomputing & Quantum Computing",Machine Learning & Neural Networks,N,N,,,
69deca274e2d2a5b77ed5ba8,Improving measurement geometry for accurate classification of scattered field data,We study the problem of object recognition/ classification using microwave scattering by examining the non-redundant information content in the scattered field data. A broad synthetic forward data is generated using the finite-difference frequency-domain (FDFD) method. A simple correlation coefficient based (CCB) measure is introduced to examine the diversity in the measured data from objects of different shapes and dielectric permittivity. This scattered data is further fed directly to a suppor,Next-Gen Communication,"Signal Modulation, Detection & Channel Equalization",0.72,haiku,"AI/ML, Supercomputing & Quantum Computing",Machine Learning & Neural Networks,N,N,,,
69deca3d4e2d2a5b77ed86a4,Facile low temperature synthesis of bismuth molybdate stabilized ferricyanide and ferrocyanide nanocomposites for the degradation of organic pollutants,"Recently, the development of environment friendly and green solutions to remediate water resource pollution has received global attention. Bismuth molybdates are considered among the most intriguing materials, due to their unique characteristics and emerging demands, such as ion conductors, photoconductors, sensors and photocatalysts. Owing to their outstanding employment, we aimed to fabricate the visible light active bismuth molybdate stabilized ferricyanide and ferrocyanide nanocomposites. Th","Energy, Sustainability & Climate Change",Environmental Assessment & Land Use Management,0.65,haiku,Advanced Materials & Devices,Organometallic & Chalcogenide Synthesis,N,N,,,
69deca144e2d2a5b77ed2b8d,Extraction and characterization of silk sericin,"Study compares the quality and quantity of sericin obtained from four sources, namely mulberry silk cocoons, silk flats, reeling silk waste and woven silk fabric. Sericin has been extracted using the conventional HTHP machine as well as IR heating machine. Results show that among the four sources, the maximum yield of sericin (28%) is obtained from silk fabric followed by 25% sericin obtained from silk flats. IR machine extraction gives ∼13 times higher yield of sericin as compared to that obtai",Manufacturing & Industry 4.0,Advanced Surface Finishing & Processing,0.65,haiku,Advanced Materials & Devices,Bio-based Materials & Polymers,N,N,,,
69deca4d4e2d2a5b77edaeb4,A conceptual method to assess ship-helicopter dynamic interface,"The combined operation of a ship and a helicopter is ubiquitous in every naval organization. The operation of a ship in combination with the landing and take-off operations of a helicopter results in a very complex flow phenomenon. This is due to the presence of ship airwakes, strong velocity gradients and widely varying turbulence length scales. An accurate assessment of the resultant flow phenomena is an outstanding challenge for naval architects as well as researchers. A conceptual method to ",Manufacturing & Industry 4.0,Fluid-Particle Flow & Multiphase Systems,0.45,sonnet,Smart & Sustainable Infrastructure,Transportation Systems & Traffic Management,N,N,,,
