sample_index,id,title,abstract,assigned_theme,assigned_domain,assigned_confidence,audit_verdict,theme_level_ok,reason,suggested_theme,suggested_domain
1,69deca3f4e2d2a5b77ed8d0d,Dynamics modelling of hexaslides using the decoupled natural orthogonal complement matrices,"In this paper, dynamic model of a class of parallel systems, namely, the hexaslides, is proposed. The model developed is based on the concept the decoupled natural orthogonal complement (DeNOC) matrices, introduced elsewhere. The dynamic model of hexslides, though complex due to the existence of multi-loop kinematic chains, is required for actuator power estimation, computed-torque control, optimum tool trajectory generation, etc. The use of DeNOC offers many physical interpretations, recursive algorithms, and parallel computations. Using the proposed dynamic model, a parallel inverse dynamics algorithm has been presented to compute the actuator forces. This is useful to choose suitable motors for an application. An illustration is provided using an existing machine tool based on hexaslides, namely, the HexaM, while it is carrying out a circular contouring. Secondly, the effect of leg and slider inertias is also studied, which clearly suggests that neither of these can be neglected while finding the actuator forces. © Springer 2006.",Manufacturing & Industry 4.0,Rotor Dynamics & Vibration Analysis,0.72,borderline,yes,Robot dynamics/control paper; rotor-vibration fit is partial.,"AI/ML, Supercomputing & Quantum Computing",Control Systems & Linear Dynamical Systems
2,69deca024e2d2a5b77ecffaf,Sublinear Algorithms for Hierarchical Clustering,"Hierarchical clustering over graphs is a fundamental task in data mining and machine learning with applications in many domains including phylogenetics, social network analysis, and information retrieval. Specifically, we consider the recently popularized objective function for hierarchical clustering due to Dasgupta [20], namely, minimum cost hierarchical partitioning. Previous algorithms for (approximately) minimizing this objective function require linear time/space complexity. In many applications the underlying graph can be massive in size making it computationally challenging to process the graph even using a linear time/space algorithm. As a result, there is a strong interest in designing algorithms that can perform global computation using only sublinear resources (space, time, and communication). The focus of this work is to study hierarchical clustering for massive graphs under three well-studied models of sublinear computation which focus on space, time, and communication, respectively, as the primary resources to optimize: (1) (dynamic) streaming model where edges are presented as a stream, (2) query model where the graph is queried using neighbor and degree queries, (3) massively parallel computation (MPC) model where the edges of the graph are partitioned over several machines connected via a communication channel. We design sublinear algorithms for hierarchical clustering in all three models above. At the heart of our algorithmic results is a view of the objective in terms of cuts in the graph, which allows us to use a relaxed notion of cut sparsifiers to do hierarchical clustering while introducing only a small distortion in the objective function. Our main algorithmic contributions are then to show how cut sparsifiers of the desired form can be efficiently constructed in the query model and the MPC model. We believe this relaxed notion of cut sparsifiers may be of broader interest. We complement our algorithmic results by establishing nearly matching lower bounds that rule out the possibility of designing algorithms with better performance guarantees in each of these models.","AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,0.95,correct,yes,,,
3,69deca4a4e2d2a5b77eda7f1,Integration and prediction difficulty in hindi sentence comprehension: Evidence from an eye-tracking corpus,"This is the first attempt at characterizing reading difficulty in Hindi using naturally occurring sentences. We created the Potsdam-Allahabad Hindi Eyetracking Corpus by recording eye-movement data from 30 participants at the University of Allahabad. India. The target stimuli were 153 sentences selected from the beta version of the Hindi-Urdu treebank. We find that word- or low-level predictors (syllable length, unigram and bigram frequency) affect first-pass reading times, regression path dura- tion, total reading time, and outgoing saccade length. An increase in syllable length results in longer fixations, and an increase in word unigram and bigram frequency leads to shorter fixations. Longer syllable length and higher frequency lead to longer outgoing saccades. We also find that two predictors of sentence comprehension diffi- culty, integration and storage cost, have an effect on reading difficulty. Integration cost (Gibson, 2000) was approximated by calculating the distance (in words) between a dependent and head; and storage cost (Gibson, 2000), which measures difficulty of maintaining predictions, was estimated by counting the number of predicted heads at each point in the sentence. We find that integration cost mainly affects outgoing saccade length, and storage cost affects total reading times and outgoing saccade length. Thus, word-level predictors have an effect in both early and late measures of reading time, while predictors of sentence comprehension difficulty tend to affect later measures. This is, to our knowledge, the first demonstration using eye-tracking that both integration and storage cost influence reading difficulty.","Social Sciences, Humanities & Management",Computational Linguistics & Language Processing,0.85,correct,yes,,,
4,69deca2c4e2d2a5b77ed664f,Validation of the use of POSSUM score in enteric perforation peritonitis - results of a prospective study,"Introduction: The objective of the study was to present our last 5-years experience of peritonitis and validate POSSUM score in predicting mortality and morbidity in patients of enteric perforation (EP) peritonitis. Methods: Data was collected prospectively for all peritonitis cases admitted in single surgical unit from January 2005 to December 2009. Parameters for calculating POSSUM were also retrieved; in these patients, O:E (Observed vs. Expected) ratio of mortality and morbidity were estimated after calculating predicted mortality and morbidity by exponential regression equations. Results: 887 patients with peritonitis were admitted and treated in this unit during the 5 years of study period. Duodenal (n=431; 48%) followed by ileal (n=380; 42.8%) perforations were the commonest. Mean age of the patients was 34 years and 86% were males. Mean delay in presentation was 78.5 hrs. Mean duration of hospital and ICU stay was 13 and 7.2 days. Postoperative complications were seen in 481 (54%) patients, and 90 (10%) patients died. POSSUM scores and predicted mortality/morbidity were calculated in 380 patients of ileal perforation peritonitis; O:E ratio of mortality and morbidity were 0.47 and 0.85 in these patients. Conclusion: POSSUM and P-POSSUM are accurate tools for predicting morbidity and mortality respectively in EP patients. Though they may sometime over or under predict morbidity as well as mortality. © Sunil Kumar et al.",Healthcare & MedTech,Clinical Diagnostics & Biomarkers,0.92,correct,yes,,,
5,69deca474e2d2a5b77eda002,Observation of magnetic intermartensitic phase transition in off-stochiometric Ni-Mn-Ga single crystal,"We report the temperature dependence of electrical resistivity and magnetization for the off-stochiometric Ni<inf>49</inf>Mn<inf>29</inf>Al <inf>22</inf> single crystal. Resitivity data give the clear evidence of intermartensitic structural transformation at ∼273 K, followed by a martensitic transformation at ∼341 K. Intermartensitic phase transformation is also observed in the magnetization versus temperature data. © 2005 IEEE.",Advanced Materials & Devices,Alloys & Structural Metals,0.92,correct,yes,,,
6,69deca034e2d2a5b77ed0179,Irrigation of world agricultural lands: Evolution through the Millennia,"Many agricultural production areas worldwide are characterized by high variability of water supply conditions, or simply lack of water, creating a dependence on irrigation since Neolithic times. The aim of this paper is to provide an overview of the evolution of irrigation of agricultural lands worldwide, based on bibliographical research focusing on ancient water management techniques and ingenious irrigation practices and their associated land management practices. In ancient Egypt, regular flooding by the Nile River meant that early agriculture probably consisted of planting seeds in soils that had been recently covered and fertilized with floodwater and silt deposits. On the other hand, in arid and semi-arid regions farmers made use of perennial springs and seasonal runoff under circumstances altogether different from the river civilizations of Mesopotamia, Egypt, India, and early dynasties in China. We review irrigation practices in all major irrigation regions through the centuries. Emphasis is given to the Bronze Age civilizations (Minoans, Egyptians, and Indus valley), pre-Columbian, civilizations from the historic times (e.g., Chinese, Hellenic, and Roman), late-Columbians (e.g., Aztecs and Incas) and Byzantines, as well as to Ottomans and Arabs. The implications and impacts of irrigation techniques on modern management of water resources, as well as on irrigated agriculture, are also considered and discussed. Finally, some current major agricultural water management challenges are outlined, concluding that ancient practices could be adapted to cope with present challenges in irrigated agriculture for increasing productivity and sustainability.","Social Sciences, Humanities & Management",Agricultural Economics & Consumer Behavior,0.72,borderline,no,Historical irrigation overview fits water-resources framing better.,Smart & Sustainable Infrastructure,Hydrology & Water Resources Management
7,69deca444e2d2a5b77ed9778,Characterization and modeling of the effect of environmental degradation on interlaminar shear strength of carbon/epoxy composites,"Accelerated ageing experiments have been conducted to address durability issues of carbon/epoxy composites to be used for emerging facilities and infrastructure, such as, bridges and buildings, in different climatic zones. The degradation of carbon/epoxy composites under UV, hygrothermal exposure, and applied tensile stress has been investigated. The tests were designed to capture the synergistic effects of field exposure and extreme temperatures, viz., hot/dry, hot/wet, cold/dry, and cold/wet conditions. Short beam shear tests (SBST) were performed for the determination of interlaminar shear strength (ILSS) of conditioned composite specimens. The hot/dry samples showed increased strength, while the hot/wet ones showed a decrease in strength. It is conjectured that conditioning at 90 °C possibly contributed to an increase in the ILSS from post curing. For the hot/wet samples (90 °C, immersed in water) the results indicate that strength degradation due to moisture-induced hydrolysis overshadowed the post-curing effect. The samples subjected to shear stress under hot conditions (90 °C) showed a higher ILSS, possibly due to improved crosslink density arising from post-cure. There is insignificant variation in the ILSS of UV treated and the UV untreated control samples. All the SBST test data reported in this work are from tests performed at room temperature and ambient humidity after environmental ageing. A two-dimensional cohesive layer constitutive model with a prescribed traction-separation law constructed from the basic principles of continuum mechanics, taking into account hygrothermal mechanisms that are likely to occur within a cohesive bi-material interface, such as between adjacent plies in a laminate, was applied to simulate interlaminar failure in the SBST specimens, using Finite Element Analysis (FEA). A phenomenological predictive model was developed using the finite element results. ©Smithers Rapra Technology, 2008.",Advanced Materials & Devices,Composite & Laminate Structures,0.92,correct,yes,,,
8,69dec9ff4e2d2a5b77ecf945,Study on the liquid flow behaviour of cotton wick,"The present paper reports the interaction effect of yarn twist, yarn count and number of plies on wicking behaviour of plied cotton yarn. A three-variable factorial design technique proposed by Box & Behnken was used to investigate the combined interaction effect of the above variables. Both the vertical as well as horizontal wicking experiments were carried out with liquids of varying surface tensions, like distilled water, saline water and petrol. Each wick samples were subjected to nine different types of wicking related tests. The yarn count and number of plies in the cotton wick was found to play major role in wicking related properties, whereas the effect of twist in plied cotton wick was not that prominent when the twist per unit length of single and plied yarns were the same and in opposite direction. The rate of vertical wicking for saline water was found to be significantly lower than that of distilled water. The rate of horizontal wicking for distilled water was less than that of vertical wicking of distilled water. Use two or three parallel strands instead of one resulted in marked increase of vertical wicking.",Manufacturing & Industry 4.0,Textile Manufacturing & Fabric Properties,0.92,correct,yes,,,
9,69deca194e2d2a5b77ed3959,"Dealkylation reactions of trialkylamines with 1,3,5-trichloro-1,2,4,6-cyclothiatriazine: A novel route to regiospecific dialkylamino substitution on cyclocarbathiazines","Reaction of trialkylamines and diamines with 1,3,5-trichloro-1,2,4,6-cyclothiatriazine, (CICNMCISN), is found to result in the facile cleavage of a C-N bond of the tertiary amine and regiospecific substitution of the dialkylamino group on the carbon atoms of the heterocycle. Reaction of (CICN)<inf>2</inf>(CISN) with tetramethylmethylenediamine in diethyl ether at room temperature gives the thiatriazine with dimethylamino groups substituted on the ring carbon atoms, [(Me<inf>2</inf>N)CN]<inf>2</inf>(CISN) (1). © 1999 American Chemical Society.",Advanced Materials & Devices,Organometallic & Chalcogenide Synthesis,0.75,correct,yes,,,
10,69deca5f4e2d2a5b77edd3b9,The Evolving Role of Public R& D and Public Research Organizations in Innovation,"Public research and development plays a crucial role in technological advances and development and indirectly contributes to economic growth. Business sectors depend on public research to produce innovations of commercial significance, and many countries have, since the late 1970s, changed their legislation to regulate or facilitate IP ownership and promote increased commercialization of the results of public research. These “third mission” policies were intended to increase the economic effect of public investments in research and development. Maximization of the economic impact of academic research will happen only when the private sector uses and builds on research done in the public sector and when industrial research complements and also guides basic research. The chapter explores cross-country trends in public research and development and outlines the challenges faced by high, middle- and low-income countries in increasing their research and development and knowledge transfer capabilities.","Social Sciences, Humanities & Management",Digital Transformation & IT Applications,0.75,incorrect,yes,"Public R&D policy/innovation systems, not primarily IT applications.","Social Sciences, Humanities & Management",International Business & Finance
