sample_index,id,title,assigned_theme,assigned_domain,assigned_confidence,audit_verdict,reason,suggested_fix
1,69dec9f34e2d2a5b77ecdf9d,Macro-modelling of laser micro-joints for understanding joint strength in electric vehicle battery interconnects,Manufacturing & Industry 4.0,"Materials, Joining & Mechanical Behavior",0.85,correct,"Laser micro-welding macro-modeling for EV battery interconnect joint strength is a manufacturing joining/process study, matching Materials, Joining & Mechanical Behavior under Manufacturing.",
2,69dec9f64e2d2a5b77ece530,A three-dimensional numerical model of coastal upwelling along the west coast of India,"Energy, Sustainability & Climate Change",Monsoon Dynamics & Regional Climate Modeling,0.92,borderline,"3D coastal upwelling model along India's west coast is ocean circulation driven by monsoon winds—Energy theme fits, but Monsoon Dynamics domain emphasizes atmospheric/climate monsoon simulation rather than oceanographic upwelling.","Keep Energy, Sustainability & Climate Change; accept Monsoon Dynamics & Regional Climate Modeling if treating monsoon-forced regional ocean modeling as in-scope, or flag taxonomy gap for coastal/ocean modeling."
3,69dec9f84e2d2a5b77ecea96,Mechanical and some other properties of acrylic-monomer-grafted nylon 6 fibre,Manufacturing & Industry 4.0,Textile Manufacturing & Fabric Properties,0.85,correct,Characterization of grafted nylon 6 fiber tensile/dye/moisture properties is classic textile fiber and fabric property work.,
4,69dec9fc4e2d2a5b77ecf067,Visco-elastic fluid simulations of coherent structures in strongly coupled dusty plasma medium,"AI/ML, Supercomputing & Quantum Computing",Computational Fluid Dynamics & Flow Analysis,0.75,incorrect,"Strongly coupled dusty-plasma coherent-structure simulation is computational plasma physics, not fluid-mechanics CFD; AI/ML CFD domain is a misroute.","Next-Gen Communication → Plasma-Wave & Electromagnetic Interactions (plasma simulation), or out_of_scope if plasma-physics papers outside EM-wave interaction are excluded."
5,69dec9fd4e2d2a5b77ecf30d,Planar Slot Antenna Array Based On Spoof Surface Plasmon Transmission Line,Next-Gen Communication,Antenna Design & RF Systems,0.95,correct,Planar slot antenna array with spoof surface plasmon feed at microwave frequencies is core antenna/RF design.,
6,69dec9fd4e2d2a5b77ecf331,Delay Spread Estimation in Presence of Obstruction Medium for 6G Channels,Next-Gen Communication,"Signal Modulation, Detection & Channel Equalization",0.75,correct,6G delay-spread estimation and channel characterization with obstruction media is physical-layer wireless channel modeling.,
7,69dec9fe4e2d2a5b77ecf54c,Palladium-Functionalized Nanostructured Platforms for Enhanced Hydrogen Sensing,Quantum Technologies & Semiconductor Technology,Plasmonic & Fiber Optic Sensors,0.72,correct,Pd-functionalized nanostructured hydrogen sensing platform is a chemical sensor device; v2.2 routes nanomaterial sensor devices to Plasmonic & Fiber Optic Sensors.,
8,69dec9fe4e2d2a5b77ecf5ca,Exploring the number of register windows in ASIP synthesis,"AI/ML, Supercomputing & Quantum Computing",Algorithms & Computational Complexity,0.82,incorrect,ASIP register-window exploration is processor microarchitecture / hardware-software co-design; v2.2 explicitly prefers Computer Architecture & Systems over Algorithms when novelty is architectural.,"AI/ML, Supercomputing & Quantum Computing → Computer Architecture & Systems"
9,69deca004e2d2a5b77ecfb37,Microaerobic fermentation alters lactose metabolism in Escherichia coli,Manufacturing & Industry 4.0,Biomanufacturing & Fermentation Processes,0.85,correct,Microaerobic fermentation optimization for E. coli lactose metabolism targets bioprocess scale-up and production tuning.,
10,69deca004e2d2a5b77ecfbdf,Guidance for performing multivariate data analysis of bioprocessing data: Pitfalls and recommendations,Manufacturing & Industry 4.0,Biomanufacturing & Fermentation Processes,0.85,correct,Multivariate data analysis guidance for bioprocessing data supports upstream biomanufacturing process understanding and control.,
11,69deca004e2d2a5b77ecfc35,Case study and application of process analytical technology (PAT) towards bioprocessing: II. Use of ultra-performance liquid chromatography (UPLC) for making real-time pooling decisions for process chromatography,Healthcare & MedTech,Biopharmaceutical Manufacturing & Quality,0.92,correct,"PAT case study using UPLC for real-time chromatography pooling decisions is downstream biopharma QC, matching the Healthcare tie-break for PAT/QC.",
12,69deca024e2d2a5b77ecffcf,Synthesis of embedded Au nanostructures by ion irradiation: Influence of ion induced viscous flow and sputtering,Advanced Materials & Devices,Ion Beam & Thin Film Engineering,0.95,correct,Au nanostructure synthesis/modification in glass via ion irradiation with TEM/RBS characterization is ion-beam thin-film engineering.,
